sample_id,holeid,MOD_ALT,labeled
S00001,SYN-001,Oxd,True
S00002,SYN-001,Oxd,True
S00003,SYN-001,Oxd,True
S00004,SYN-001,Oxd,True
S00005,SYN-001,Oxd,True
S00006,SYN-001,ArgAvd,True
S00007,SYN-001,ArgAvd,False
S00008,SYN-001,Oxd,True
S00009,SYN-001,Oxd,True
S00010,SYN-001,Oxd,True
S00011,SYN-001,Oxd,False
S00012,SYN-001,ArgAvd,True
S00013,SYN-001,Oxd,False
S00014,SYN-001,Oxd,True
S00015,SYN-001,Oxd,True
S00016,SYN-001,Oxd,True
S00017,SYN-001,ArgAvd,True
S00018,SYN-001,Oxd,True
S00019,SYN-001,Oxd,True
S00020,SYN-001,Oxd,True
S00021,SYN-001,Oxd,True
S00022,SYN-001,Oxd,False
S00023,SYN-001,Oxd,True
S00024,SYN-001,Oxd,True
S00025,SYN-001,ArgAvd,True
S00026,SYN-001,Arg,True
S00027,SYN-001,ArgAvd,True
S00028,SYN-001,Oxd,True
S00029,SYN-001,Oxd,True
S00030,SYN-001,Oxd,True
S00031,SYN-001,Fil,True
S00032,SYN-001,ArgAvd,True
S00033,SYN-001,Fil,True
S00034,SYN-001,Fil,True
S00035,SYN-001,Arg,True
S00036,SYN-001,ArgAvd,True
S00037,SYN-001,ArgAvd,True
S00038,SYN-001,ArgAvd,True
S00039,SYN-001,ArgAvd,True
S00040,SYN-001,Arg,True
S00041,SYN-001,Fil,True
S00042,SYN-001,Arg,True
S00043,SYN-001,Arg,True
S00044,SYN-001,Fil,True
S00045,SYN-001,Fil,True
S00046,SYN-001,Fil,True
S00047,SYN-001,Arg,False
S00048,SYN-001,Fil,True
S00049,SYN-001,Fil,True
S00050,SYN-001,Arg,True
S00051,SYN-001,Fil,True
S00052,SYN-001,Fil,True
S00053,SYN-001,ArgAvd,True
S00054,SYN-001,Arg,True
S00055,SYN-001,Arg,True
S00056,SYN-001,Fil,True
S00057,SYN-001,Arg,True
S00058,SYN-001,Arg,True
S00059,SYN-001,Arg,True
S00060,SYN-001,Fil,False
S00061,SYN-001,Fil,True
