sample_id,holeid,from_m,to_m,depth_m,x,y,z,MOD_ALT,WhiteMica,Chlorite,Carbonate,Epidote,Kaolinite,Dickite,Montmor,Alunite,Gypsum,Pyrophyllite,Diaspore,Zunyite,Water_silica,Hematite,Goethite,VNIRMinerals,aiMineral1,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,Mo_ppm,Na_pct,Ni_ppm,P_pct,Pb_ppm,S_pct,Sb_ppm,Sc_ppm,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Zn_ppm,Ga_ppm,Rb_ppm,Tl_ppm,Cs_ppm,labeled
S00001,SYN-001,0.0,1.0,0.5,100.55,7.88,0.5,Oxd,15.92,1.57,0.0,0.0,14.18,0.0,3.81,8.95,45.37,3.48,1.66,3.32,23.7,20.68,41.19,Goethite,Gypsum,3.43621,6.83214,122.27586,0.44528,203.92604,0.49403,0.59641,0.28431,2.47734,9.95198,73.75115,0.11048,7.63649,4.29439,11.56846,0.43928,3.49804,1.78024,73.82671,0.04268,11.30354,0.06171,27.6958,18.85804,24.78444,43.83214,0.38606,126.50768,1.64632,90.28211,35.85127,135.35054,2.74837,1.4338,True
S00002,SYN-001,1.0,3.0,2.0,101.48,6.74,2.0,Oxd,8.37,1.59,0.0,19.38,15.29,0.0,2.0,5.48,13.32,18.18,0.0,1.61,9.95,38.76,30.85,Hematite,Epidote,8.29689,3.21199,199.26731,0.65176,267.7677,0.84957,1.66588,0.32824,1.32187,8.45407,38.57053,0.02988,3.73344,0.86185,0.5161,0.0607,,1.54757,35.34079,0.03367,56.22512,0.07148,18.83801,5.4111,28.83193,35.44766,0.61797,293.55676,5.04201,35.15268,55.34888,18.94384,1.64274,6.32652,True
S00003,SYN-001,3.0,4.5,3.75,102.56,5.41,3.75,Oxd,0.0,2.84,0.0,2.42,2.04,2.37,2.0,6.77,13.01,0.27,4.74,0.0,23.21,61.05,22.62,Hematite,Water_silica,0.5948,12.34482,161.98334,0.12372,365.6775,1.77694,0.78938,0.13783,0.32742,10.38132,107.8781,0.00818,1.88749,6.5507,3.32449,0.04767,1.28596,0.77385,13.46456,0.35517,108.65053,3.1239,8.06211,5.56582,31.47317,222.14936,0.63573,193.16342,2.20667,39.13381,47.63776,39.3758,0.39753,0.91547,True
S00004,SYN-001,4.5,5.5,5.0,103.33,4.46,5.0,Oxd,9.76,4.16,3.27,1.62,1.19,0.0,1.8,4.47,0.0,0.18,4.43,3.8,10.07,15.51,41.16,Goethite,Water_silica,0.99154,14.79619,742.54798,1.97838,303.33244,0.77956,4.65942,0.68358,0.11474,9.14051,10.3499,,,5.43004,1.3215,0.15149,2.45266,0.41905,19.29805,,139.30541,0.05423,9.75445,7.16981,7.61653,152.85632,0.93692,195.69947,0.92342,26.84916,14.178,12.5881,5.87759,3.53681,True
S00005,SYN-001,5.5,7.0,6.25,104.1,3.51,6.25,Oxd,0.48,0.19,0.57,0.19,8.66,0.0,3.36,23.37,16.52,0.04,3.58,0.0,23.0,30.34,30.7,Goethite,Alunite,3.15603,3.71728,1436.44678,0.42634,573.99459,2.75624,4.01503,0.28629,0.16329,7.30257,38.27608,0.05609,11.28849,6.94527,4.97344,0.07679,,0.82482,54.8914,0.01949,161.95157,0.07349,24.42556,9.55827,59.21876,181.85568,0.95393,317.48951,1.67548,72.58591,13.23478,72.24409,0.53757,1.27511,True
S00006,SYN-001,7.0,8.5,7.75,105.02,2.37,7.75,ArgAvd,0.96,4.9,2.66,4.73,8.25,8.1,0.0,29.13,0.0,27.26,21.7,41.2,7.36,0.0,1.44,None,Zunyite,1.35411,8.50156,1253.43615,0.398,298.73052,0.57735,1.23009,0.40822,1.39698,5.07847,26.13513,0.30168,12.75962,1.31426,0.31672,0.03781,3.04494,0.88464,6.15623,0.2071,78.93843,0.02715,45.80301,7.80435,49.86043,120.42711,1.48708,842.13863,4.26524,253.866,25.67427,41.63679,8.25814,2.70885,True
S00007,SYN-001,8.5,9.5,9.0,105.79,1.42,9.0,ArgAvd,7.31,0.4,0.0,6.02,31.35,13.55,0.32,33.45,1.45,43.14,26.99,7.11,9.57,0.0,3.55,None,Pyrophyllite,5.54163,2.49524,917.07829,0.8171,119.92309,3.41459,28.22605,,0.5705,11.71029,,0.08879,2.30081,1.0678,0.42477,0.07607,,0.23472,27.84065,0.03068,16.25667,5.29347,5.01577,9.60511,39.06686,102.39761,0.34026,296.75397,1.19459,31.06094,7.32211,39.02751,6.72326,0.28138,False
S00008,SYN-001,9.5,11.5,10.5,106.72,0.29,10.5,Oxd,12.58,3.73,1.98,4.75,18.04,0.38,0.12,5.32,25.84,3.15,3.63,0.0,33.03,59.72,36.12,Hematite,Water_silica,3.0654,8.05,261.68811,0.32538,296.10363,0.91304,1.82806,1.98952,0.29175,5.38727,8.54798,0.06031,0.73928,1.23184,0.80898,0.03876,2.38712,0.37903,6.42721,0.09951,38.60727,1.73563,0.84905,21.92211,12.62701,77.48538,0.29548,207.07499,0.85987,,45.18334,43.04308,5.02443,2.0933,True
S00009,SYN-001,11.5,13.5,12.5,107.95,-1.23,12.5,Oxd,4.95,4.53,1.5,4.56,21.13,1.47,2.53,14.34,10.9,0.54,0.0,3.1,26.3,33.81,46.61,Goethite,Water_silica,1.15902,7.2002,515.86022,0.45908,71.74335,,0.66591,0.93766,1.15684,5.02862,6.59833,0.0633,6.30554,0.84493,1.27686,0.60532,0.70067,1.06005,16.37767,0.09612,5.91185,0.54272,43.63876,6.35711,34.09236,121.36234,0.23428,25.21177,3.32551,175.75632,6.23985,47.44174,,5.35728,True
S00010,SYN-001,13.5,15.0,14.25,109.03,-2.56,14.25,Oxd,9.48,5.66,1.2,0.28,18.66,5.69,6.94,9.58,18.16,0.13,4.1,0.0,25.43,49.33,25.4,Hematite,Water_silica,1.22264,13.31778,178.09778,1.59132,104.63771,1.71892,0.92229,0.63293,0.23596,18.40803,146.98919,0.04009,11.53081,6.02985,0.97704,0.28966,4.77511,0.88145,4.70082,0.04522,106.11942,0.47085,4.04154,15.43103,72.76465,101.34454,0.14357,112.88514,7.7797,86.65678,33.92438,295.77688,,,True
