sample_id,holeid,from_m,to_m,x,y,z,depth_m,WhiteMica,Chlorite,Carbonate,Epidote,Kaolinite,Dickite,Montmor,Alunite,Gypsum,Pyrophyllite,Diaspore,Zunyite,Water_silica,Hematite,Goethite,VNIRMinerals,aiMineral1
S00001,SYN-001,0.0,1.0,100.55,7.88,0.5,0.5,15.92,1.57,0.0,0.0,14.18,0.0,3.81,8.95,45.37,3.48,1.66,3.32,23.7,20.68,41.19,Goethite,Gypsum
S00002,SYN-001,1.0,3.0,101.48,6.74,2.0,2.0,8.37,1.59,0.0,19.38,15.29,0.0,2.0,5.48,13.32,18.18,0.0,1.61,9.95,38.76,30.85,Hematite,Epidote
S00003,SYN-001,3.0,4.5,102.56,5.41,3.75,3.75,0.0,2.84,0.0,2.42,2.04,2.37,2.0,6.77,13.01,0.27,4.74,0.0,23.21,61.05,22.62,Hematite,Water_silica
S00004,SYN-001,4.5,5.5,103.33,4.46,5.0,5.0,9.76,4.16,3.27,1.62,1.19,0.0,1.8,4.47,0.0,0.18,4.43,3.8,10.07,15.51,41.16,Goethite,Water_silica
S00005,SYN-001,5.5,7.0,104.1,3.51,6.25,6.25,0.48,0.19,0.57,0.19,8.66,0.0,3.36,23.37,16.52,0.04,3.58,0.0,23.0,30.34,30.7,Goethite,Alunite
S00006,SYN-001,7.0,8.5,105.02,2.37,7.75,7.75,0.96,4.9,2.66,4.73,8.25,8.1,0.0,29.13,0.0,27.26,21.7,41.2,7.36,0.0,1.44,None,Zunyite
S00007,SYN-001,8.5,9.5,105.79,1.42,9.0,9.0,7.31,0.4,0.0,6.02,31.35,13.55,0.32,33.45,1.45,43.14,26.99,7.11,9.57,0.0,3.55,None,Pyrophyllite
S00008,SYN-001,9.5,11.5,106.72,0.29,10.5,10.5,12.58,3.73,1.98,4.75,18.04,0.38,0.12,5.32,25.84,3.15,3.63,0.0,33.03,59.72,36.12,Hematite,Water_silica
S00009,SYN-001,11.5,13.5,107.95,-1.23,12.5,12.5,4.95,4.53,1.5,4.56,21.13,1.47,2.53,14.34,10.9,0.54,0.0,3.1,26.3,33.81,46.61,Goethite,Water_silica
S00010,SYN-001,13.5,15.0,109.03,-2.56,14.25,14.25,9.48,5.66,1.2,0.28,18.66,5.69,6.94,9.58,18.16,0.13,4.1,0.0,25.43,49.33,25.4,Hematite,Water_silica
S00011,SYN-001,15.0,16.5,109.96,-3.7,15.75,15.75,8.93,2.45,1.47,0.99,7.36,2.92,2.1,39.84,8.81,20.04,3.09,0.0,9.6,45.57,33.06,Hematite,Alunite
S00012,SYN-001,16.5,18.0,110.88,-4.84,17.25,17.25,6.3,0.0,4.85,2.07,7.38,5.85,2.74,47.87,3.62,100.0,17.58,4.48,5.37,1.73,1.0,None,Pyrophyllite
S00013,SYN-001,18.0,19.5,111.81,-5.98,18.75,18.75,4.82,1.59,3.77,3.13,12.45,0.0,0.0,3.24,20.21,1.26,0.0,1.53,18.2,45.19,15.93,Hematite,Gypsum
S00014,SYN-001,19.5,21.0,112.73,-7.12,20.25,20.25,5.03,0.01,0.0,4.41,9.11,10.87,0.47,10.4,17.27,0.0,0.0,3.5,20.59,15.5,25.22,Goethite,Water_silica
