modelo,dominio,precision,recall,f1,soporte
random_forest,Arg,0.229,0.55,0.324,40
random_forest,ArgAvd,0.72,0.67,0.694,88
random_forest,Fil,0.581,0.347,0.435,72
random_forest,Oxd,0.649,0.685,0.667,89
random_forest,Pro,0.786,0.631,0.7,122
random_forest,Sk,0.773,0.75,0.761,68
knn,Arg,0.216,0.2,0.208,40
knn,ArgAvd,0.625,0.568,0.595,88
knn,Fil,0.362,0.292,0.323,72
knn,Oxd,0.546,0.596,0.57,89
knn,Pro,0.496,0.574,0.532,122
knn,Sk,0.697,0.676,0.687,68
neural_network,Arg,0.28,0.175,0.215,40
neural_network,ArgAvd,0.585,0.545,0.565,88
neural_network,Fil,0.371,0.361,0.366,72
neural_network,Oxd,0.606,0.64,0.623,89
neural_network,Pro,0.59,0.648,0.617,122
neural_network,Sk,0.622,0.676,0.648,68
svm,Arg,0.099,0.925,0.179,40
svm,ArgAvd,0.333,0.023,0.043,88
svm,Fil,0.5,0.056,0.1,72
svm,Oxd,0.0,0.0,0.0,89
svm,Pro,0.0,0.0,0.0,122
svm,Sk,0.582,0.779,0.667,68
