sample_id,holeid,from_m,to_m,depth_m,x,y,z,MOD_ALT,WhiteMica,Chlorite,Carbonate,Epidote,Kaolinite,Dickite,Montmor,Alunite,Gypsum,Pyrophyllite,Diaspore,Zunyite,Water_silica,Hematite,Goethite,VNIRMinerals,aiMineral1,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,Mo_ppm,Na_pct,Ni_ppm,P_pct,Pb_ppm,S_pct,Sb_ppm,Sc_ppm,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Zn_ppm,Ga_ppm,Rb_ppm,Tl_ppm,Cs_ppm,labeled,WhiteMica__z,Chlorite__z,Carbonate__z,Epidote__z,Kaolinite__z,Dickite__z,Montmor__z,Alunite__z,Gypsum__z,Pyrophyllite__z,Diaspore__z,Zunyite__z,Water_silica__z,Hematite__z,Goethite__z,Ag_ppm__z,Al_pct__z,As_ppm__z,Au_ppm__z,Ba_ppm__z,Be_ppm__z,Bi_ppm__z,Ca_pct__z,Cd_ppm__z,Co_ppm__z,Cr_ppm__z,Cu_pct__z,Fe_pct__z,K_pct__z,Mg_pct__z,Mn_pct__z,Mo_ppm__z,Na_pct__z,Ni_ppm__z,P_pct__z,Pb_ppm__z,S_pct__z,Sb_ppm__z,Sc_ppm__z,Si_pct__z,Sr_ppm__z,Ti_pct__z,V_ppm__z,W_ppm__z,Zn_ppm__z,Ga_ppm__z,Rb_ppm__z,Tl_ppm__z,Cs_ppm__z,pc1,pc2,cluster_k5,best_pred,best_p_Arg,best_p_ArgAvd,best_p_Fil,best_p_Oxd,best_p_Pro,best_p_Sk
S00001,SYN-001,0.0,1.0,0.5,100.55,7.88,0.5,Oxd,15.92,1.57,0.0,0.0,14.18,0.0,3.81,8.95,38.5238,3.48,1.66,3.32,23.7,20.68,41.19,Goethite,Gypsum,3.43621,6.83214,122.27586,0.44528,203.92604,0.49403,0.59641,0.28431,2.47734,9.95198,73.75115,0.11048,7.63649,4.29439,11.56846,0.43928,3.49804,1.78024,73.82671,0.04268,11.30354,0.06171,27.6958,18.85804,24.78444,43.83214,0.38606,126.50768,1.64632,90.28211,35.85127,135.35054,2.74837,1.4338,True,-0.09472476529802303,-0.7534444148486344,-0.854341485948891,-0.7871435734576074,0.13402819689100304,-0.8190981492965835,-0.6194821970310161,-0.114690906789528,3.8358410718172493,-0.430770483828942,-0.5046557706099268,-0.2045802058754483,1.6589587002937471,0.5358115949529181,2.622233979211074,0.3435466443387532,-0.46655096068046975,-0.3015413597319017,-0.1319763855239039,-0.4197968015148376,-0.4321983056042466,-0.667072218520475,-0.4769872725648443,2.768816001586693,-0.18283176177895805,0.5393420096417909,-0.275297381058473,0.1219118626143942,0.6642275926918852,4.061675775583323,0.5799080052850817,-0.4937577418854973,0.6204596576223306,3.9236722496633116,-0.6422872879646199,-0.6451661559172003,-0.6251627950590625,1.280651653616636,0.3904133418164465,-0.45697938382008235,-0.7037591013434529,-0.28034287399824864,0.09044977958381112,-0.3988239675337593,-0.2330195501218718,0.6751742864065505,0.9367383333967623,0.22167166165086188,-0.7221418772683398,-2.556290735270858,-3.6877059839105657,0,Oxd,0.0999092738038353,0.11816705923360708,0.13066069686587647,0.39726271217791176,0.14262274943444467,0.11137750848432477
S00002,SYN-001,1.0,3.0,2.0,101.48,6.74,2.0,Oxd,8.37,1.59,0.0,19.38,15.29,0.0,2.0,5.48,13.32,18.18,0.0,1.61,9.95,38.76,30.85,Hematite,Epidote,8.29689,3.21199,199.26731,0.65176,267.7677,0.84957,1.66588,0.32824,1.32187,8.45407,38.57053,0.02988,3.73344,0.86185,0.5161,0.0607,,1.54757,35.34079,0.03367,56.22512,0.07148,18.83801,5.4111,28.83193,35.44766,0.61797,293.55676,5.04201,35.15268,55.34888,18.94384,1.64274,6.32652,True,-0.4384107231738606,-0.7521324265029484,-0.854341485948891,1.9178748621004276,0.2072971329903601,-0.8190981492965835,-0.7946486120839312,-0.3553660830346453,0.8178702274619011,0.15789317164047112,-0.6817498704870906,-0.4457503152507409,0.19408358212988205,1.5418237373698807,1.7800100585732743,1.9766586281949847,-0.8278561780950732,-0.10512574309994595,0.05359240433726205,-0.22543185938572752,-0.12059117728201882,-0.4892947968798991,-0.47104336425460175,1.0277099804827976,-0.3262096288859173,-0.27198556605519275,-0.470728910612292,-0.4268750823992038,-0.6492106976382678,-0.6848750060095641,-0.44671133849310823,-0.40366457664600486,0.42922073338366457,1.2428650430124575,-0.7065109889076359,0.8204966572541258,-0.62197502166438,0.6343404873345363,-0.7274438327141023,-0.34006350007830194,-0.7445383502134565,0.12880020693289462,1.6638308331407137,-0.034811244646149174,-0.6726855590578619,1.6763083151999894,-0.7432885881549169,-0.16577836477399624,1.0037271668351062,-1.0548824455490347,-2.242330987568804,0,Oxd,0.043882367308810837,0.1939495679418333,0.08390904780577632,0.6251839013184035,0.023453343137651215,0.029621772487524872
S00003,SYN-001,3.0,4.5,3.75,102.56,5.41,3.75,Oxd,0.0,2.84,0.0,2.42,2.04,2.37,2.0,6.77,13.01,0.27,4.74,0.0,23.21,61.05,22.62,Hematite,Water_silica,0.5948,12.34482,161.98334,0.12372,365.6775,1.77694,0.78938,0.13783,0.32742,10.38132,107.8781,0.00818,1.88749,6.5507,3.32449,0.04767,1.28596,0.77385,13.46456,0.35517,108.65053,3.1239,8.06211,5.56582,31.47317,222.14936,0.63573,193.16342,2.20667,39.13381,47.63776,39.3758,0.39753,0.91547,True,-0.8194241625673387,-0.6701331548975699,-0.854341485948891,-0.4493652135994834,-0.6673095366641278,-0.5168496840749016,-0.7946486120839312,-0.2658931788974115,0.7807499931420699,-0.5593154045130792,-0.17607153710290013,-0.6728169094578877,1.6067558779009987,2.7820898133916785,1.1096519476594353,-0.6111223982744071,0.08363619895024622,-0.2002422002914567,-0.4209704772894818,0.07265300574579873,0.6921868577975343,-0.6349949194340285,-0.4968066144561333,-0.4707649973935379,-0.14173593261452105,1.3263700838892654,-0.5233450916460125,-0.6864242199064997,1.5275894031456096,0.5212172448325771,-0.48204561407404184,-0.6498128437694789,-0.2067245129391982,-0.2809638024029986,1.5851560314230686,2.530988004670227,0.3739741354898258,-0.1519261205596762,-0.7145818089344641,-0.2637685842726693,0.16351499224221494,0.16013297014852615,0.718258555464618,-0.3387553130717583,-0.640935411484137,1.2803692933347628,-0.44840656796134526,-0.6021419288998772,-0.9049787658763407,-2.047695028587671,-2.8214349457364563,0,Oxd,0.2340359994623647,0.08875400934048308,0.24376214575898486,0.2852551661568264,0.11311755574223811,0.03507512353910285
S00004,SYN-001,4.5,5.5,5.0,103.33,4.46,5.0,Oxd,9.76,4.16,3.27,1.62,1.19,0.0,1.8,4.47,0.0,0.18,4.43,3.8,10.07,15.51,41.16,Goethite,Water_silica,0.99154,14.79619,742.54798,1.97838,303.33244,0.77956,4.65942,0.68358,0.11474,9.14051,10.3499,,,5.43004,1.3215,0.15149,2.45266,0.41905,19.29805,,139.30541,0.05423,9.75445,7.16981,7.61653,152.85632,0.93692,195.69947,0.92342,26.84916,14.178,12.5881,5.87759,3.53681,True,-0.3751360898695673,-0.5835419240822902,-0.5152418233882542,-0.5610274813211773,-0.723416379623095,-0.8190981492965835,-0.8140040170621538,-0.42541851185527024,-0.7771024213772912,-0.5629194677098307,-0.20914332683899703,-0.13688333306834866,0.2068679467974941,0.24814108741443924,2.6197903894993586,-0.4778240020674727,0.3282925725296935,1.2808568277215164,1.245859297041737,-0.11715556093207115,-0.1819502790816452,0.008319743759791243,-0.4229644118539284,-0.7912392880011492,-0.2605045444036045,-0.9228034118618207,-0.3802630251575403,-0.37184101976926753,1.098776409140765,-0.3389876118697685,-0.2005103500055445,-0.5675059256796985,-0.4983459953816216,0.12537862183749474,-0.38895650755232364,3.5311691572082595,-0.6276033830828316,-0.028444051200857762,-0.5812405633146239,-0.9528920036534481,-0.17350270272743193,0.6915020553352409,0.7421447871090723,-0.4763177309148257,-0.738907457207728,-0.43767226823414496,-0.8350171081317128,1.318255845952296,0.019678594461084355,-0.910337589355732,-1.5521969424013526,0,Oxd,0.04154202546210809,0.22100767322717024,0.06032272373180945,0.6428554623898529,0.015316345929995225,0.018955769259064066
S00005,SYN-001,5.5,7.0,6.25,104.1,3.51,6.25,Oxd,0.48,0.19,0.57,0.19,8.66,0.0,3.36,23.37,16.52,0.04,3.58,0.0,23.0,30.34,30.7,Goethite,Alunite,3.15603,3.71728,1436.44678,0.42634,573.99459,2.75624,4.01503,0.28629,0.16329,7.30257,38.27608,0.05609,11.28849,6.94527,4.97344,0.07679,,0.82482,54.8914,0.01949,161.95157,0.07349,24.42556,9.55827,59.21876,181.85568,0.95393,317.48951,1.67548,72.58591,13.23478,72.24409,0.53757,1.27511,True,-0.7975739294838418,-0.8439716107009724,-0.7952323704566698,-0.7606237848737051,-0.23033624208958361,-0.8190981492965835,-0.6630318582320172,0.8854635720158301,1.2010468397956409,-0.5685257882381108,-0.29982404063152057,-0.6728169094578877,1.5843832397326778,1.0733158701602115,1.7677921100146983,0.24941057374022804,-0.7774262474824121,3.0510866478141905,-0.14899824178102558,0.7068711501730369,1.5504780789427153,-0.09879685860490402,-0.47671937048302593,-0.7180823065783566,-0.4364296113772975,-0.27877610597927527,-0.40717729287524984,0.6354000124432868,1.6785689536287993,1.229375946802798,-0.40307906726538606,-0.40366457664600486,-0.16483063762890984,2.6046985702458003,-0.8075866913906511,4.270048657286573,-0.6213191952034474,1.042037662042849,-0.3826855651455806,0.5376911289785321,-0.03245971395402873,0.7215116444285906,1.889245635841297,-0.39569806057540835,-0.3741495713706507,-0.48610331381555455,0.02596142000986131,-0.553067191690741,-0.7781185443591964,-2.2510257862917786,-2.3154298465557335,0,Oxd,0.05612726526799451,0.1746842618193843,0.08015394576496,0.6437961462163627,0.027534975790712436,0.017703405140586097
S00006,SYN-001,7.0,8.5,7.75,105.02,2.37,7.75,ArgAvd,0.96,4.9,2.66,4.73,8.25,8.1,0.0,29.13,0.0,27.26,21.7,34.2365,7.36,0.0,1.44,,Zunyite,1.35411,8.50156,1253.43615,0.398,298.73052,0.57735,1.23009,0.40822,1.39698,5.07847,26.13513,0.30168,12.75962,1.31426,0.31672,0.03781,3.04494,0.88464,6.15623,0.2071,78.93843,0.02715,45.80301,7.80435,49.86043,120.42711,1.48708,842.13863,4.26524,253.866,25.67427,41.63679,8.25814,2.70885,True,-0.7757236964003448,-0.5349983552919061,-0.5784989469851926,-0.12694041555309213,-0.2573995428109678,0.2139029343724559,-0.9882026618661578,1.2849704928146413,-0.7771024213772912,0.5215031030460678,1.6332754110396883,4.155733061084337,-0.08184562194607496,-0.6148704352009974,-0.6155223888114162,-0.356006188101782,-0.2999362745331313,2.584201743819621,-0.17446811539912632,-0.13116603488407672,-0.359173875352213,-0.5617359336829386,-0.46022174379812103,1.1408885772833322,-0.6493173778202667,-0.5587679745182121,0.18830694215108276,0.8422477183189109,-0.47609906108683225,-0.7705008175859142,-0.5087836000470275,-0.5257224839669916,-0.11566266389805935,-0.7900389065601199,0.5297061536614281,1.561567069982984,-0.6364390948052472,2.6018493805005307,-0.5284906371956247,0.26736620605167716,-0.3312273112001823,1.6621120221546009,4.459867744218289,-0.11807978881755732,1.0715880985065291,0.15262095750978702,-0.41577507794093294,2.1524808221248817,-0.2723778759185591,-1.9033306980681384,2.871955901244902,4,Oxd,0.04296037465041735,0.19709139846384144,0.07403040611387982,0.6461958064763811,0.02227836448597828,0.017443649809502006
S00007,SYN-001,8.5,9.5,9.0,105.79,1.42,9.0,ArgAvd,7.31,0.4,0.0,6.02,31.35,13.55,0.32,33.45,1.45,43.14,26.99,7.11,9.57,0.0,3.55,,Pyrophyllite,5.54163,2.49524,917.07829,0.8171,119.92309,3.41459,28.22605,,0.5705,11.71029,,0.08879,2.30081,1.0678,0.42477,0.07607,,0.23472,27.84065,0.03068,16.25667,5.29347,5.01577,9.60511,39.06686,102.39761,0.34026,296.75397,1.19459,31.06094,7.32211,39.02751,6.72326,0.28138,False,-0.48666332123324973,-0.8301957330712687,-0.854341485948891,0.05311499114813918,1.2673864246621396,0.9089468733843405,-0.9572340139010015,1.5846006834137505,-0.6034755189135653,1.1574200315395564,2.1976295004072766,0.3299430189972763,0.15359976068244444,-0.6148704352009974,-0.44365657908745504,1.0509346297750681,-0.899390648926922,1.7261072868259546,0.20218763736537704,-0.6755424778557181,2.127478002807649,3.9257879459136116,-0.4491227499741011,-0.10448283376320999,-0.014528767932306851,-0.06937114467801443,-0.32788931500415947,-0.6283095095868727,-0.5704053185622788,-0.724097622978508,-0.40503153682933635,-0.40366457664600486,-0.6498527255355445,0.720429062194269,-0.7278238485990474,-0.4835596752501514,1.0818653866567853,-0.3742031849619494,-0.37879171048013177,-0.04441709057877009,-0.4189166452437637,-0.36114470706558666,1.6939443161855927,-0.44724872577435854,-0.7053178390470392,-0.7896982230391005,-0.45343322515983325,1.6146071242702773,-1.1286490969346383,-2.28228813157554,2.536137869644,4,ArgAvd,0.10498394097639527,0.4349561194713683,0.12638382932581885,0.25362828686924516,0.024063333900638,0.05598448945653437
S00008,SYN-001,9.5,11.5,10.5,106.72,0.29,10.5,Oxd,12.58,3.73,1.98,4.75,18.04,0.38,0.12,5.32,25.84,3.15,3.63,0.0,33.03,59.72,36.12,Hematite,Water_silica,3.0654,8.05,261.68811,0.32538,296.10363,0.91304,1.82806,1.98952,0.29175,5.38727,8.54798,0.06031,0.73928,1.23184,0.80898,0.03876,2.38712,0.37903,6.42721,0.09951,38.60727,1.73563,0.84905,21.92211,12.62701,77.48538,0.29548,207.07499,0.85987,,45.18334,43.04308,5.02443,2.0933,True,-0.24676597050402266,-0.6117496735145403,-0.649015084765386,-0.12414885886004985,0.38881927197525384,-0.7706363700627273,-0.9765894188792242,-0.36646349750127893,2.3170487232176584,-0.4439853822170309,-0.2944898809966663,-0.6728169094578877,2.6529430532005738,2.7080856015877757,2.209267317931224,0.21896032005208355,-0.3450037396867128,0.05411817194074988,-0.23973354313894554,-0.1391635606819576,-0.06496394986847387,-0.4623357028972081,-0.24626539936410077,-0.524513906298811,-0.6197594702272677,-0.9643588871547492,-0.3969450217249134,-0.847867875031098,-0.5076365184475654,-0.559094648428656,-0.5062074249279265,-0.5721295610714909,-0.531239715019011,-0.7711632986271864,-0.2372003928934101,0.24567654645146825,-0.07899312864894581,-0.6782290946720407,0.6451324550692624,-0.8081591699292101,-0.5400812287452768,-0.4401470233266215,0.8492871170300611,-0.48313019275307,-0.37235986578027314,1.1543434171914204,-0.3954789518630618,1.0192798191217722,-0.4895083657274743,-2.747726540074427,-4.1651987751839545,0,Oxd,0.13951478858268046,0.28181858396631354,0.19497400146065352,0.29785695235225995,0.026796694722743725,0.05903897891534876
S00009,SYN-001,11.5,13.5,12.5,107.95,-1.23,12.5,Oxd,4.95,4.53,1.5,4.56,21.13,1.47,2.53,14.34,10.9,0.54,0.0,3.1,26.3,33.81,46.61,Goethite,Water_silica,1.15902,7.2002,515.86022,0.45908,71.74335,,0.66591,0.93766,1.15684,5.02862,6.59833,0.0633,6.30554,0.84493,1.27686,0.60532,0.70067,1.06005,16.37767,0.09612,5.91185,0.54272,43.63876,6.35711,34.09236,121.36234,0.23428,25.21177,3.32551,175.75632,6.23985,47.44174,,5.35728,True,-0.5940936338937765,-0.5592701396870982,-0.6987911820219934,-0.1506686474439522,0.5927841481437344,-0.6316275822603504,-0.7433567888916413,0.2591532430551932,0.5280929143845103,-0.5485032149228246,-0.6817498704870906,-0.23560793924536896,1.9359532680920055,1.2663945280245288,3.0637091871276,-0.42155335782505365,-0.42981712414838713,0.7025456494891699,-0.11957397705778569,-0.8222249478431146,-0.15819455198153282,-0.6555192709819558,-0.3885863507688744,0.7790365171624379,-0.6540889506619473,-1.0093212786065664,-0.3896951424027556,-0.06522588465142316,-0.6556850215710949,-0.3581587234595381,1.0301691808382822,-0.6911031635507144,0.028512432593556937,-0.0780457928616738,-0.2613644712726359,-0.8210815964058854,-0.4682179761669229,2.443934263792409,-0.6488011031653987,-0.18811060524427548,-0.32667867169949844,-0.5481180317048112,-0.8636235119111506,-0.2188173932747292,0.44865092565951553,-0.8452684859586064,-0.3319957741872707,-0.29708062063807195,0.6618352718754879,-2.1375372699178916,-2.9741341248473456,0,Oxd,0.0908519623566069,0.16026087695969302,0.12977384330633968,0.5296005271194462,0.039652147399601254,0.049860642858312945
S00010,SYN-001,13.5,15.0,14.25,109.03,-2.56,14.25,Oxd,9.48,5.66,1.2,0.28,18.66,5.69,6.94,9.58,18.16,0.13,4.1,0.0,25.43,49.33,25.4,Hematite,Water_silica,1.22264,13.31778,178.09778,1.59132,104.63771,1.71892,0.92229,0.63293,0.23596,18.40803,146.98919,0.04009,11.53081,6.02985,0.97704,0.28966,4.77511,0.88145,4.70082,0.04522,106.11942,0.47085,4.04154,15.43103,72.76465,101.34454,0.14357,112.88514,7.7797,86.65678,33.92438,295.77688,,,True,-0.38788205916827384,-0.48514279815583605,-0.7299012428073729,-0.7480617797550145,0.42974426331002996,-0.09344677076857921,-0.3165701091218316,-0.07099483732715793,1.3974248536166824,-0.5649217250413593,-0.2443487804290356,-0.6728169094578877,1.843266624251819,2.1299624732851075,1.3360912609450333,-0.4001780390604089,0.18074143611879248,-0.15913208132008191,0.897998701324656,-0.7220785798167488,0.6413361923723905,-0.6129013617743944,-0.42981756359337264,-0.6085803943230664,0.6265696129029666,2.2283412780457796,-0.445972633729606,0.6694713291099182,1.3282896619864504,-0.4869195361128699,0.17417398284308053,-0.40366457664600486,-0.11828462705756143,-0.8914181542598428,-0.6241820492969993,2.4484051168233156,-0.49166785066803115,-0.44528815395839316,0.10552267407434791,0.9289780006987699,-0.4240384182824655,-0.7081515312143797,-0.03785650224259,0.25866489461337727,-0.26193213587100644,0.5762352293251037,3.2520738778800524,-0.29708062063807195,-0.3642584125654231,-2.048452022991567,-2.86187067204119,0,Oxd,0.08561129491134864,0.13430002379818107,0.15468874477165764,0.49824460635947065,0.057320604240666415,0.06983472591867552
