mineral,count,mean,median,std,min,max
WhiteMica,2928.0,18.000887978142075,8.205,21.971481328379443,0.0,100.0
Chlorite,2928.0,13.05553517759563,4.18,15.246641665217151,0.0,58.57990000000001
Carbonate,2928.0,8.238571038251367,4.0600000000000005,9.644829841517288,0.0,43.2192
Epidote,2928.0,5.6394596994535515,3.495,7.165685090857257,0.0,36.05760000000001
Kaolinite,2928.0,12.149517418032787,7.695,15.15225492344017,0.0,78.0849
Dickite,2928.0,6.422737704918032,3.75,7.842570234631234,0.0,38.062200000000004
Montmor,2928.0,10.211128756830602,6.45,10.334795990124093,0.0,44.9095
Alunite,2928.0,10.60358743169399,4.14,14.42023544187534,0.0,62.67280000000001
Gypsum,2928.0,6.48976912568306,3.3049999999999997,8.352666851470037,0.0,38.5238
Pyrophyllite,2928.0,14.237120901639347,2.4450000000000003,24.9760805724517,0.0,100.0
Diaspore,2928.0,6.390414959016393,2.26,9.375148826119924,0.0,38.9855
Zunyite,2928.0,4.770561816939891,2.315,7.091642025810737,0.0,34.2365
Water_silica,2928.0,8.12824112021858,4.625,9.388068955648585,0.0,40.206
